City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,novoorsk,51.381,58.9813,54.25,71,31,3.98,RU,1694718821
313,san patricio,28.017,-97.5169,100.35,38,2,12.46,US,1694718822
314,puerto la cruz,10.2167,-64.6167,85.05,71,100,6.08,VE,1694718822
315,saraqib,35.8645,36.8059,75.7,23,0,11.16,SY,1694718822
316,tobruk,32.0836,23.9764,77.58,65,1,15.68,LY,1694718823
317,tolanaro,-25.0319,46.9987,68.9,85,68,14.03,MG,1694718823
318,upington,-28.4478,21.2561,61.18,12,2,4.61,ZA,1694718823
319,cannonvale,-20.2833,148.7,69.19,71,1,16.35,AU,1694718824
320,fort bragg,35.139,-79.006,86.14,55,0,10.36,US,1694718581
321,xixiang,35.1628,112.865,69.85,72,7,3.85,CN,1694718824
322,gorno-altaysk,51.9561,85.955,52.52,90,100,1.01,RU,1694718824
323,mount gambier,-37.8333,140.7667,53.13,90,100,8.05,AU,1694718789
324,saint-pierre,-21.3393,55.4781,67.68,68,0,6.91,RE,1694718825
325,posto fiscal rolim de moura,-13.0833,-62.2667,97.45,31,32,2.51,BR,1694718825
326,staroaleyskoye,51.0061,82.0,52.25,84,100,10.74,RU,1694718825
327,pikeville,37.4793,-82.5188,81.0,37,0,5.75,US,1694718709
328,sao jose da coroa grande,-8.8978,-35.1478,78.73,75,4,10.27,BR,1694718826
329,bilgoraj,50.5411,22.722,62.38,81,100,6.33,PL,1694718826
330,emporia,38.4039,-96.1817,82.51,32,20,6.91,US,1694718604
331,swan hill,-35.3378,143.5544,55.63,39,7,8.12,AU,1694718827
332,nikolayevsk-on-amure,53.1406,140.73,46.45,73,7,3.44,RU,1694718827
333,palikir - national government center,6.9248,158.1611,75.94,100,75,2.3,FM,1694718827
334,matoury,4.8483,-52.3317,91.36,62,0,11.5,GF,1694718828
335,port douglas,-16.4833,145.4667,72.07,63,74,17.87,AU,1694718828
336,el granada,37.5027,-122.4694,80.82,74,75,8.05,US,1694718828
337,nuuk,64.1835,-51.7216,39.81,75,75,21.85,GL,1694718697
338,arteche,12.2645,125.4048,78.06,88,21,5.39,PH,1694718829
339,tamanrasset,22.785,5.5228,89.51,14,40,9.22,DZ,1694718830
340,zhangjiakou,40.81,114.8794,62.29,86,12,4.29,CN,1694718830
341,touros,-5.1989,-35.4608,81.84,66,6,17.47,BR,1694718830
342,adam,22.3756,57.5233,86.05,50,6,7.63,OM,1694718831
343,kasulu,-4.5767,30.1025,73.38,54,68,2.82,TZ,1694718831
344,nuevitas,21.5453,-77.2644,88.3,59,76,9.73,CU,1694718831
345,lejanias,3.5251,-74.0216,78.84,80,100,4.21,CO,1694718832
346,siwa oasis,29.2041,25.5195,83.37,21,0,5.19,EG,1694718832
347,puerto san jose,13.9256,-90.8244,87.42,63,94,4.47,GT,1694718621
348,ma'an,26.9775,110.7211,66.78,96,51,0.81,CN,1694718833
349,igarka,67.4667,86.5833,55.24,75,100,14.58,RU,1694718833
350,greenville,35.6127,-77.3663,84.36,64,40,13.8,US,1694718723
351,karratha,-20.7377,116.8463,70.27,67,0,8.66,AU,1694718833
352,mytilene,39.11,26.5547,76.82,61,0,5.75,GR,1694718834
353,murudeshwara,14.0943,74.4845,78.15,87,100,2.77,IN,1694718834
354,rongelap,11.1635,166.8941,83.23,78,96,13.02,MH,1694718834
355,opuwo,-18.0607,13.84,76.3,14,0,4.92,NA,1694718835
356,kayes,14.0,-11.0,85.12,71,100,6.22,ML,1694718835
357,vernon,50.2581,-119.2691,74.23,37,65,2.3,CA,1694718835
358,norilsk,69.3535,88.2027,51.42,95,100,20.76,RU,1694718835
359,lusambo,-4.9667,23.45,74.1,82,47,2.35,CD,1694718836
360,zdvinsk,54.7021,78.661,55.18,86,97,6.17,RU,1694718836
361,lorengau,-2.0226,147.2712,80.31,83,54,11.39,PG,1694718836
362,darwin,-12.4611,130.8418,75.18,76,75,1.99,AU,1694718837
363,howrah,22.5892,88.3103,82.4,89,75,9.22,IN,1694718837
